,year,size,distance
0,1961,13511.581888853605,1614.7653242680726
1,1961,9691.44066739073,1636.8384002241755
2,1961,9205.967944385598,1736.4307653296723
3,1961,6606.235547597,1681.1514255426753
4,1961,6431.5254860849445,1697.4329223550358
5,1961,5941.755817984487,1552.1110624169717
6,1961,5456.38387831761,1670.4759914032943
7,1961,5019.12573312076,1771.7098440906648
8,1961,9870.377328270955,1122.1572815385973
9,1961,4995.9895200781,1122.8898097486908
10,1961,4995.9324122564585,1125.2150760834763
11,1961,4995.88573280963,1125.2290251801703
12,1961,4995.651618221351,1130.758670331242
13,1961,4995.241494061606,1136.1157946497005
14,1961,4999.739225206336,1142.5101849135976
15,1961,4798.918347762496,1544.045662957196
16,1961,4541.977564394032,1659.3661962699275
17,1961,4535.072129457629,1688.7678954083437
18,1961,3954.6574069237954,1654.128217224388
19,1961,2445.100483657005,1480.1238841049858
20,1961,2148.1487457252138,1573.2963671744535
21,1961,2046.606378819434,1545.2210370756686
22,1961,2022.4440738508465,1692.183068037631
23,1961,2019.4081216211405,1560.3300567396122
24,1961,1888.4750256019322,1588.751375756458
25,1961,1716.057815794302,1684.7952691517341
26,1961,1702.8818690229466,1683.814584872761
27,1961,1669.5254298531465,1545.3904567346535
28,1961,1604.4598410816723,1746.3827276400445
29,1961,1598.5543271072222,1591.656095775637
30,1961,1566.4938253272803,1781.3438109539752
31,1961,1522.8376543847123,1705.4134605623594
32,1961,1459.3127939731653,1045.4256952588944
33,1961,1336.1764963725384,1794.8727637950979
34,1961,1332.510134721299,1553.6237230992772
35,1961,1226.3765869848953,1689.032707078511
36,1961,1220.0185652831692,1652.0899179706437
37,1961,1195.4680707385237,1656.9062885103338
38,1961,1184.438630651376,1576.3498723588384
39,1961,1149.5064295048223,1652.6140877326636
40,1961,1097.6268131863974,1676.6614410973868
41,1961,1088.2377043158804,1651.270137824994
42,1961,1038.6805227787754,1728.2113026878872
43,1961,1037.211210538092,1633.4806405236477
44,1961,969.7717119160949,1746.176802663737
45,1961,941.6793783356208,1652.7788913598927
46,1961,921.6611148531858,1790.2355016057347
47,1961,1130.3070061527742,1729.9038997953671
48,1961,852.8849596932023,1679.0956908980186
49,1961,819.6487196760818,1432.250171229597
50,1961,778.9661023907164,1755.3007152267874
51,1961,736.5068844836361,1694.670560403483
52,1961,715.5980561573755,1558.584525711314
53,1961,694.9363569516013,1649.5135881508895
54,1961,660.4901157038341,1628.2414980056203
55,1961,638.8968837456861,1716.9384730659926
56,1961,638.5860366729247,1628.7755952353416
57,1961,638.046791177966,1649.337428200848
58,1961,637.8796130519297,1691.288894484287
59,1961,599.9919677754219,1409.8779734103796
60,1961,484.91449369219936,1571.1337152123645
61,1961,449.24975291965774,1509.9451249463232
62,1961,442.5503639523793,1724.0709763259492
63,1961,431.42614205631344,1515.7369668047725
64,1961,427.1567881251096,1548.8076671754395
65,1961,402.4192376777693,1553.454287472403
66,1961,339.2273954096017,1783.3876722072628
67,1961,371.6560523079113,1791.9810187719443
68,1961,302.361672719627,1350.7076890763433
69,1961,325.1917055545704,1676.3763354793637
70,1961,265.13438270603285,1672.8167944934635
71,1961,258.7298185175391,1626.600920272641
72,1961,256.8763969835464,1780.771121381748
73,1961,252.7328466535047,1531.1041348435806
74,1961,246.6152020590992,1675.1959214767846
75,1961,241.88346186104906,1398.187796467917
76,1961,211.32349836867172,1466.374872795898
77,1961,201.419502342706,1767.4686895180034
78,1961,194.35768066903273,1673.220858918688
79,1961,183.25809597105572,1368.888493458696
